car_type,fuel_type,car_rating,year_to_start,riders,car_id,model,target_class,year_to_work,target_reg
standart,petrol,5.1,2015,87129,Q-5554551x,Renault Kaptur,engine_ignition,2019,54.337446020924126
economy,petrol,3.8,2014,56704,l-1607581F,Smart ForTwo,engine_fuel,2014,42.5794099267863
economy,petrol,3.74,2013,38780,S29542128Q,Smart ForFour,another_bug,2020,73.59850691004543
standart,petrol,5.0,2013,47895,a-9339461G,Nissan Qashqai,break_bug,2020,28.471202863486887
standart,petrol,3.48,2015,83053,n28625799A,Kia Sportage,engine_overheat,2018,36.766523588230186
economy,petrol,4.64,2015,81467,N21890923Q,VW Polo,another_bug,2016,66.6873558938257
economy,petrol,6.04,2014,64332,g-1957069S,VW Polo,engine_check,2019,53.987668755296376
economy,petrol,5.14,2014,61936,J-1782910O,Kia Rio X,engine_fuel,2017,24.08817095681329
economy,petrol,5.32,2014,60223,e-5741942D,Kia Rio,engine_ignition,2016,53.52805921595011
economy,petrol,4.02,2012,23250,t17410389g,Kia Rio,another_bug,2019,90.91235566021926
premium,petrol,4.24,2015,89730,Z17995139Z,Audi A3,engine_check,2020,61.65712505972292
standart,petrol,5.28,2013,46366,y12023699E,Renault Sandero,gear_stick,2021,27.74293521174078
standart,petrol,4.3,2015,72969,Y-8852975t,Nissan Qashqai,engine_ignition,2017,58.944062760403604
economy,petrol,5.6,2013,38818,L-2247718T,Kia Rio X-line,break_bug,2015,31.302626139715546
standart,petrol,4.14,2013,40619,Z11671085y,Renault Sandero,engine_ignition,2017,56.52277461661034
economy,petrol,5.16,2015,93909,N19589603r,Skoda Rapid,break_bug,2017,34.96729087551155
standart,petrol,6.18,2014,58245,D-7723622B,Nissan Qashqai,engine_ignition,2020,67.73461415392929
economy,petrol,3.78,2014,64189,d37118079d,Skoda Rapid,wheel_shake,2019,34.1082362064588
standart,petrol,5.16,2013,39692,N-1539010p,Renault Sandero,engine_ignition,2019,62.58794143178389
economy,petrol,3.26,2017,127367,s47589001I,VW Tiguan,electro_bug,2018,29.125526290999005
economy,petrol,5.24,2015,86243,y-1806571O,Smart ForTwo,engine_fuel,2016,37.60847183082055
economy,petrol,4.18,2014,60859,u54154743P,VW Tiguan,engine_ignition,2021,76.59055177740655
economy,petrol,3.14,2012,20707,j16845365O,VW Polo VI,engine_ignition,2016,63.01418655450973
economy,petrol,5.72,2014,63613,k-1171716I,Kia Rio X,gear_stick,2017,25.728187883303505
economy,petrol,2.5,2015,75020,G81601770L,Kia Rio X,electro_bug,2016,41.62258289432543
economy,petrol,4.02,2015,86652,L16050992t,Kia Rio X-line,engine_ignition,2021,53.778056698149214
standart,petrol,3.96,2013,46605,m-4274263Z,Kia Sportage,engine_check,2018,38.494927444962165
economy,petrol,5.22,2016,109780,K-3529763Q,Skoda Rapid,electro_bug,2019,39.63141144447284
economy,petrol,1.88,2015,81699,s33927254Y,VW Polo,break_bug,2019,27.471841820426583
premium,petrol,4.3,2013,43597,g19494953p,Audi A3,engine_fuel,2020,31.338384172158012
economy,petrol,4.86,2014,59714,Y-4198316J,VW Tiguan,engine_ignition,2020,71.8549793317659
economy,petrol,5.36,2014,64958,b-1404013d,Skoda Rapid,wheel_shake,2018,27.281959317436456
standart,petrol,4.62,2012,21622,a-7282370E,Renault Kaptur,engine_overheat,2018,25.72181314600676
business,petrol,2.82,2015,87593,z16068145k,Mercedes-Benz GLC,electro_bug,2019,31.860959521165416
economy,petrol,6.16,2013,52440,O-1398534Y,Kia Rio,electro_bug,2020,28.585621682868407
economy,petrol,5.62,2014,75957,l69679835h,VW Polo,engine_fuel,2018,27.64480179886454
standart,petrol,4.28,2014,63451,G14568186a,Nissan Qashqai,engine_check,2015,64.85263118419938
economy,petrol,4.32,2015,75127,a-9442555A,VW Tiguan,engine_fuel,2021,40.53888478060869
economy,petrol,4.8,2015,85769,d-4629986a,Kia Rio,engine_ignition,2021,52.52507411626305
standart,petrol,5.06,2013,40611,G-1689492g,Nissan Qashqai,gear_stick,2018,39.98259985816599
economy,petrol,4.0,2015,90673,W12690163c,Kia Rio X-line,wheel_shake,2021,28.78422190330836
economy,petrol,3.84,2015,75188,l17843143j,Smart ForTwo,gear_stick,2021,25.721632995165766
economy,petrol,3.7,2012,21365,Q35379022F,Hyundai Solaris,electro_bug,2016,35.873086258674974
economy,petrol,4.84,2015,83114,Z76981204Y,Hyundai Solaris,electro_bug,2021,38.432658293922884
economy,petrol,3.76,2014,55649,r10613305A,Kia Rio X,gear_stick,2018,31.730379804015435
economy,petrol,4.54,2014,61802,N23006473B,Hyundai Solaris,gear_stick,2015,35.06969632563224
economy,petrol,6.94,2013,45127,m-2019578o,VW Tiguan,another_bug,2019,67.7745670300969
economy,petrol,3.86,2017,117893,W86413939q,Smart ForFour,wheel_shake,2018,38.95393904471246
business,electro,5.14,2011,447,o-1093440v,MINI CooperSE,engine_overheat,2018,52.384427130642436
economy,petrol,3.82,2013,39861,b16524531u,Smart ForTwo,engine_overheat,2016,23.108940288189967
economy,petrol,4.78,2012,21367,S-1468454C,Kia Rio,break_bug,2018,31.16161926327372
economy,petrol,3.92,2012,22947,P83526152o,Hyundai Solaris,engine_fuel,2015,52.07284341385919
economy,petrol,5.28,2011,3457,b-1081111P,Hyundai Solaris,engine_overheat,2017,34.89308415372518
business,petrol,3.4,2013,42671,H10062346p,Mercedes-Benz GLC,engine_overheat,2020,61.64501493689612
standart,petrol,4.6,2015,83063,z-4612131R,Renault Kaptur,gear_stick,2019,29.887185403676995
economy,petrol,4.82,2013,44278,N-5708757B,Kia Rio X-line,engine_overheat,2018,36.81883043505736
economy,petrol,3.08,2013,41963,s50463458T,VW Polo,gear_stick,2017,26.663795948485042
economy,petrol,4.04,2013,45984,u12928592s,VW Polo,wheel_shake,2017,27.972718475201475
economy,petrol,5.08,2014,63452,b-7098808D,Hyundai Solaris,wheel_shake,2022,31.344321015805132
standart,petrol,4.74,2014,69685,M-4627743Y,Renault Kaptur,break_bug,2018,32.115019878948054
economy,petrol,3.68,2017,116924,U-1897169L,Smart Coupe,another_bug,2014,57.413179223623764
economy,petrol,6.22,2015,96364,s-1392305F,Kia Rio X,gear_stick,2016,40.32940900881553
economy,petrol,3.96,2015,78511,z67141488o,Hyundai Solaris,wheel_shake,2017,23.514043569306672
business,petrol,6.14,2013,39499,j-1549044A,Mercedes-Benz GLC,engine_check,2019,68.19627764082192
economy,petrol,4.18,2015,90732,z-8891400p,Kia Rio,engine_overheat,2014,24.24734507566025
standart,petrol,3.56,2011,1388,z-5687636M,Renault Kaptur,electro_bug,2018,40.165980670364014
economy,petrol,4.8,2015,87302,K-1514397X,Kia Rio X,electro_bug,2014,31.85952880757758
economy,petrol,2.58,2015,83211,Q87875664U,Kia Rio X-line,another_bug,2018,45.8162882994608
economy,petrol,3.44,2012,23169,q13885185m,Hyundai Solaris,electro_bug,2020,24.294492607327612
standart,petrol,3.52,2015,85666,U57863590w,Renault Sandero,gear_stick,2016,44.56934321082984
standart,petrol,4.6,2014,67118,M49274481G,Renault Kaptur,engine_fuel,2020,59.179882516726174
standart,petrol,3.66,2014,57915,C16715520C,Renault Kaptur,electro_bug,2019,33.17146716318962
economy,petrol,5.42,2014,65141,T-1727751h,VW Polo,engine_check,2020,57.335531505336164
standart,petrol,3.84,2013,44790,a11122197a,Renault Sandero,another_bug,2020,72.77806473423561
standart,petrol,4.0,2012,21738,b15256546L,Nissan Qashqai,electro_bug,2019,34.576527185670344
premium,petrol,3.88,2017,110040,B11239506t,Audi Q3,electro_bug,2018,36.55217595853269
economy,petrol,4.22,2016,98408,m27082215N,Smart Coupe,electro_bug,2018,34.169331144151364
standart,petrol,4.74,2011,4267,l-1337696j,Kia Sportage,another_bug,2018,58.97339055604128
economy,petrol,5.32,2014,58219,q-6650729Y,Kia Rio X,another_bug,2019,43.32372226285269
economy,petrol,3.48,2017,133755,B17720677C,Skoda Rapid,break_bug,2022,31.182504178210795
standart,petrol,4.72,2013,42140,e-8788520s,Kia Sportage,gear_stick,2015,34.69812718221202
economy,petrol,4.96,2012,20097,v36899226P,VW Polo VI,engine_fuel,2019,40.46554078626668
economy,petrol,4.16,2012,20492,s21770212W,VW Polo VI,another_bug,2017,66.73987128462215
economy,petrol,3.62,2015,87297,x30389932l,Kia Rio,engine_fuel,2014,31.68073796285967
economy,petrol,3.12,2015,96993,B15081492o,Kia Rio,wheel_shake,2016,36.15307011420601
economy,petrol,3.94,2017,112886,O51808760A,VW Tiguan,gear_stick,2020,35.82660412079716
economy,petrol,3.82,2017,130393,l62738348Q,Skoda Rapid,engine_ignition,2018,56.56984592175554
standart,petrol,5.84,2012,25165,Y-2254716H,Nissan Qashqai,engine_ignition,2021,56.65125069570327
premium,petrol,5.02,2016,94482,v-6614004H,Audi A3,electro_bug,2017,40.58838034870152
economy,petrol,3.48,2013,36104,c21762167i,Smart ForFour,engine_check,2017,52.7332807763543
standart,petrol,3.12,2015,78630,B16746018u,Renault Kaptur,another_bug,2022,68.61502127508734
economy,petrol,5.56,2013,42927,T-2093464U,Smart ForTwo,engine_fuel,2014,33.35866425122873
economy,petrol,3.72,2017,117809,t11315883F,Skoda Rapid,engine_check,2014,41.665613656701716
premium,electro,5.1,2017,120231,I-2073229s,Tesla Model 3,engine_fuel,2017,59.54469931487356
economy,petrol,4.64,2014,59402,D-3425990U,Hyundai Solaris,electro_bug,2021,36.69408879257173
economy,petrol,5.6,2017,121467,r-7396117p,Smart Coupe,another_bug,2016,84.19846866638886
economy,petrol,5.12,2013,40186,b-1050475p,Kia Rio,engine_check,2021,37.525653745591185
economy,petrol,5.4,2015,88544,t-1412384s,Hyundai Solaris,engine_fuel,2018,29.206356119355124
economy,petrol,4.34,2011,920,w-1941558Q,Hyundai Solaris,another_bug,2016,84.63239618531058
standart,petrol,5.34,2012,27035,E-2041030F,Renault Kaptur,engine_overheat,2021,29.942704658681848
economy,petrol,5.62,2011,2814,q-1744366u,Kia Rio,engine_ignition,2016,45.5693936345945
standart,petrol,5.32,2013,49665,d-1134540I,Renault Sandero,engine_ignition,2020,61.33903366840369
standart,petrol,4.16,2013,41063,K30520180u,Nissan Qashqai,electro_bug,2022,28.80411015874571
economy,petrol,2.52,2017,119034,E17823137X,Skoda Rapid,engine_check,2016,54.33971285109178
standart,petrol,3.94,2015,87884,q71640430n,Nissan Qashqai,electro_bug,2017,37.37930679778371
economy,petrol,3.48,2017,128022,n34490222d,Smart ForFour,break_bug,2015,42.47476995369733
economy,petrol,3.84,2014,57543,k20675157L,Skoda Rapid,engine_ignition,2021,57.63366324082394
standart,petrol,3.34,2013,43249,y10948537e,Kia Sportage,gear_stick,2022,36.4999892100155
economy,petrol,5.54,2015,77723,x-1548714k,VW Polo VI,engine_check,2020,62.387871359936454
standart,petrol,4.04,2014,57176,a16152476X,Kia Sportage,electro_bug,2015,32.55341414092796
standart,petrol,4.22,2014,58538,F-7462902B,Renault Kaptur,engine_ignition,2020,59.639575977134974
economy,petrol,4.28,2013,38888,A14861843I,Smart ForTwo,electro_bug,2016,42.98004116179458
standart,petrol,3.92,2015,73627,H-1457815L,Renault Kaptur,electro_bug,2017,41.33697668755885
economy,petrol,4.56,2017,132381,R-1948335X,VW Tiguan,engine_ignition,2018,59.42079189293682
economy,petrol,5.92,2013,40778,t-3967937s,Kia Rio X,engine_overheat,2019,26.290438784252487
standart,petrol,4.56,2013,43695,o-1118236T,Renault Kaptur,break_bug,2021,29.595984717121574
premium,petrol,4.36,2016,93235,g-1760425A,Audi A4,electro_bug,2019,37.9034810014431
economy,petrol,3.62,2015,93392,C20191765o,Kia Rio X,engine_ignition,2017,61.332760779513755
standart,petrol,4.14,2014,67742,b-5227653R,Renault Kaptur,engine_check,2020,49.54969339926675
standart,petrol,4.4,2015,89492,R16773550u,Renault Sandero,engine_fuel,2021,35.58463949291744
economy,petrol,4.22,2013,40718,f18945419X,Kia Rio X,engine_check,2018,48.64049614177023
economy,petrol,6.34,2013,43791,h-7408890w,Hyundai Solaris,gear_stick,2016,30.06003813915299
economy,petrol,4.16,2016,110318,z-3485115T,Skoda Rapid,break_bug,2019,30.541052255360597
economy,petrol,5.22,2017,112123,C-4073157k,Smart ForTwo,engine_overheat,2021,26.09077164783546
standart,petrol,3.38,2015,87026,u21310295q,Kia Sportage,engine_check,2020,44.312042230514926
economy,petrol,5.4,2012,25538,N-9781014K,VW Polo VI,another_bug,2020,63.6523001141109
economy,petrol,3.62,2014,67354,t22511448x,Smart ForTwo,gear_stick,2021,33.07235105683335
economy,petrol,5.04,2015,87312,T-4883335x,Kia Rio X-line,wheel_shake,2022,31.27010001899543
standart,petrol,3.36,2012,24989,q12245711E,Nissan Qashqai,engine_check,2021,51.50146261476508
economy,petrol,5.14,2012,22330,B-6461335O,Hyundai Solaris,engine_fuel,2016,28.2842741123962
standart,petrol,3.98,2014,56916,q15170801B,Kia Sportage,gear_stick,2022,45.188844587980796
economy,petrol,1.94,2013,40195,W18060288Q,Kia Rio,gear_stick,2018,39.431695125626185
standart,petrol,4.1,2015,77579,b21711455K,Nissan Qashqai,gear_stick,2019,27.407772899510967
business,petrol,3.28,2013,38792,K70391511e,BMW 320i,electro_bug,2020,37.18496494024434
economy,petrol,4.36,2013,44545,V13438854p,Smart ForTwo,break_bug,2018,35.721516171180475
economy,petrol,3.12,2016,101075,j20079629P,Smart Coupe,gear_stick,2017,27.131978957127902
economy,petrol,3.82,2015,81630,C11747534v,VW Polo VI,engine_ignition,2020,48.4601256652587
standart,petrol,3.22,2011,3304,M58894937r,Renault Kaptur,engine_fuel,2014,33.0239577813816
economy,petrol,5.36,2014,59376,g-1740147b,Kia Rio X-line,gear_stick,2017,34.353931373557494
economy,petrol,3.94,2015,73470,A11922887f,Smart Coupe,electro_bug,2020,32.18998316649973
economy,petrol,4.02,2017,129629,n12377024x,Smart ForFour,electro_bug,2020,43.95012376095815
economy,petrol,3.94,2017,119174,L-1227525r,VW Tiguan,engine_ignition,2020,82.56547834679415
standart,petrol,5.24,2014,65030,i-1095441d,Renault Sandero,engine_fuel,2016,41.60746739286502
economy,petrol,3.52,2014,58435,c12597990Y,Smart ForTwo,engine_check,2016,45.78430935682881
economy,petrol,5.64,2012,20435,J-1324072f,VW Polo,engine_check,2018,54.340929236476065
economy,petrol,3.24,2017,129754,Q86719011p,Smart Coupe,wheel_shake,2018,39.87717850724004
economy,petrol,4.98,2012,20532,S-7961176I,VW Polo,engine_overheat,2018,26.154882003748668
business,petrol,4.98,2011,3455,i-2288384f,Mini Cooper,another_bug,2016,129.96060697320647
economy,petrol,3.7,2014,61991,U16614632F,Kia Rio,engine_overheat,2014,35.77493922707346
business,electro,5.14,2015,81530,U-7130411Q,MINI CooperSE,break_bug,2020,47.027079001333895
standart,petrol,4.14,2011,13,g53382924v,Kia Sportage,electro_bug,2022,34.91234546008898
economy,petrol,3.82,2014,64232,q22813846g,Kia Rio,wheel_shake,2015,24.635998705922592
economy,petrol,3.12,2015,76119,x33005281c,Hyundai Solaris,electro_bug,2020,21.499628666878124
economy,petrol,5.48,2016,104945,i-7530121C,Smart ForFour,electro_bug,2016,36.22832177147084
economy,petrol,4.18,2016,94240,g-1991724F,Smart ForTwo,break_bug,2016,32.95090259177704
economy,petrol,2.6,2015,84686,P12661886a,Kia Rio,electro_bug,2019,26.73729152318258
business,petrol,4.76,2015,79315,j-2223695S,Mini Cooper,engine_fuel,2019,35.25755191694221
economy,petrol,3.96,2017,138101,B-2081255O,Smart Coupe,gear_stick,2017,44.60036888850465
economy,petrol,2.54,2016,96375,H97221372X,VW Tiguan,another_bug,2018,56.8729842893605
economy,petrol,4.82,2011,6523,e24148786o,VW Polo VI,engine_overheat,2014,46.90834708978951
standart,petrol,4.56,2013,39508,I-1503695V,Nissan Qashqai,engine_ignition,2021,49.37177879082558
economy,petrol,2.96,2014,58172,O-2020503H,VW Polo VI,electro_bug,2019,34.21891956047799
standart,petrol,3.02,2015,81340,G15670643N,Nissan Qashqai,engine_overheat,2018,38.428553527181904
economy,petrol,5.02,2014,55556,M-1335244r,Smart ForTwo,gear_stick,2019,32.40688415473873
economy,petrol,3.7,2015,85786,E58388206y,Kia Rio X,engine_check,2016,49.57676019994038
economy,petrol,2.3,2011,5496,y13484815Y,VW Polo,another_bug,2015,53.56789868437103
premium,electro,4.8,2013,36907,c53045565g,Volkswagen ID.4 ,engine_ignition,2018,94.87791912949262
standart,petrol,3.64,2014,67119,Q19862548Q,Renault Sandero,break_bug,2017,28.966398632339946
economy,petrol,4.54,2014,68959,x24297410X,Hyundai Solaris,engine_fuel,2018,34.35449500801637
standart,petrol,5.96,2015,83621,n-2248103n,Renault Sandero,engine_overheat,2015,38.01716032728251
economy,petrol,6.8,2011,2206,R-2027359R,Kia Rio,wheel_shake,2021,24.622714204317887
economy,petrol,5.46,2014,66667,J-1564265f,Skoda Rapid,another_bug,2019,68.7469115537096
standart,petrol,4.6,2011,1112,z-8396890u,Renault Kaptur,gear_stick,2021,33.12480363615354
economy,petrol,5.24,2011,3810,S-1235434W,Kia Rio X-line,another_bug,2015,94.14646037980683
economy,petrol,4.0,2017,120698,Z17729553x,Smart ForTwo,engine_fuel,2020,39.75554829755675
standart,petrol,4.4,2012,25251,H-1512213s,Kia Sportage,break_bug,2018,37.045215184573216
standart,petrol,5.68,2014,53318,W-7286692g,Renault Kaptur,engine_overheat,2019,48.12915653290427
premium,electro,4.98,2016,99628,V-1552956h,Volkswagen ID.4 ,electro_bug,2019,37.66469963014157
economy,petrol,6.12,2015,84412,l-1076081s,Skoda Rapid,electro_bug,2018,26.169032829897642
economy,petrol,3.54,2015,85471,s13888728i,Smart ForFour,wheel_shake,2016,44.41108976905994
standart,petrol,4.12,2014,65146,H15345413o,Kia Sportage,gear_stick,2018,28.78343772552184
economy,petrol,4.42,2012,23142,w17370680J,VW Polo,break_bug,2019,34.64923818122596
economy,petrol,3.56,2013,41850,J15476551r,VW Polo VI,engine_check,2015,49.42265529766339
economy,petrol,5.4,2017,117841,f-1599161k,Smart ForFour,engine_fuel,2016,28.578994818259307
standart,petrol,4.5,2013,45290,k13011549U,Renault Sandero,break_bug,2014,33.39255766838501
economy,petrol,3.74,2015,78854,v13208941X,Kia Rio,engine_check,2020,52.51025868955985
economy,petrol,4.42,2016,101769,c-2250495g,VW Tiguan,electro_bug,2017,32.908882897868374
economy,petrol,4.96,2013,47356,b-1380770L,Smart ForTwo,engine_fuel,2020,30.568641781212403
standart,petrol,4.3,2015,75762,Z17599412A,Renault Kaptur,engine_fuel,2020,25.729970212518605
economy,petrol,3.12,2011,7399,X22359217a,Kia Rio X,gear_stick,2019,37.113954543166386
economy,petrol,3.6,2013,37727,C50359433E,VW Polo VI,gear_stick,2018,26.96137735772335
standart,petrol,3.88,2015,84484,v57643253w,Renault Sandero,engine_fuel,2015,38.96911918097487
economy,petrol,3.1,2015,91880,v22254568R,Smart ForFour,another_bug,2019,69.6546430034406
economy,petrol,6.82,2011,7472,V-5494479D,Kia Rio,engine_check,2019,48.01755335245578
economy,petrol,2.98,2015,95645,l13884760f,Kia Rio X,wheel_shake,2016,39.57451108116493
economy,petrol,3.74,2016,109428,W17936165j,Skoda Rapid,gear_stick,2020,28.321914978396343
economy,petrol,4.06,2015,87280,S-3511294t,Kia Rio X,gear_stick,2015,29.960968184790957
economy,petrol,4.7,2014,69886,j58227834T,Smart ForTwo,gear_stick,2014,41.580584850371444
economy,petrol,2.88,2014,55052,z40790936m,VW Polo,gear_stick,2019,22.344370765451412
economy,petrol,1.6,2012,28604,k14397227n,Hyundai Solaris,wheel_shake,2020,30.23998988580667
economy,petrol,3.66,2012,23516,X62303511v,Kia Rio X,engine_fuel,2018,36.48613964415337
standart,petrol,4.32,2015,88850,B-1561363P,Renault Sandero,gear_stick,2019,29.307188405160925
economy,petrol,4.0,2012,29052,i47017449U,Kia Rio X-line,engine_fuel,2019,30.645569806328556
economy,petrol,5.32,2016,93182,g-1126074r,Smart Coupe,gear_stick,2019,36.95004129877588
economy,petrol,4.04,2013,42023,Z80579540o,Kia Rio X,engine_fuel,2018,37.306957322632286
economy,petrol,3.62,2015,74334,Z17281512s,Hyundai Solaris,engine_ignition,2019,59.005952785860245
economy,petrol,4.68,2015,79067,c-7272329q,Smart ForTwo,gear_stick,2018,51.53025418990623
economy,petrol,5.2,2013,40616,O-1267999T,Smart ForTwo,gear_stick,2019,37.547201302058994
standart,petrol,2.52,2011,901,z21450941n,Kia Sportage,electro_bug,2020,28.24279106544917
economy,petrol,2.86,2014,58637,p87595615V,Hyundai Solaris,engine_check,2016,46.61858769533646
economy,petrol,5.72,2016,98758,k-2034944s,Smart ForTwo,engine_fuel,2017,39.002227590425036
standart,petrol,4.36,2015,95768,B-1760099A,Renault Kaptur,engine_overheat,2020,30.585652296582374
economy,petrol,5.0,2015,78693,d21839434m,Kia Rio,electro_bug,2021,29.984174295813823
standart,petrol,4.16,2014,53883,t11042597E,Kia Sportage,engine_overheat,2018,28.526875992643856
standart,petrol,3.0,2015,82170,a61936474Y,Renault Kaptur,break_bug,2017,23.86638170455723
economy,petrol,2.9,2015,76386,n16260385q,VW Polo,engine_ignition,2018,55.08503037684976
economy,petrol,4.28,2014,61422,R-1126472L,Smart ForFour,engine_overheat,2019,37.17990974751485
economy,petrol,3.64,2015,78095,k86159975d,VW Polo,break_bug,2016,33.044286939452775
economy,petrol,3.48,2011,2499,A10692422a,Kia Rio,break_bug,2015,29.826027809497013
standart,petrol,4.18,2011,942,W-9477259M,Kia Sportage,another_bug,2020,78.6091437597302
economy,petrol,4.12,2011,1630,r11362699a,Kia Rio X,electro_bug,2017,24.604193018486022
standart,petrol,4.38,2011,3942,F-6369826L,Nissan Qashqai,engine_check,2017,50.91834686306601
standart,petrol,3.24,2013,40935,y10620904U,Kia Sportage,electro_bug,2014,31.65336753266815
economy,petrol,4.92,2017,120326,Z76775340d,VW Tiguan,wheel_shake,2020,25.03063675766177
economy,petrol,6.2,2014,65164,d-1139767Q,VW Polo VI,engine_check,2022,56.592450137087546
economy,petrol,5.72,2015,73667,B-5479705C,VW Polo VI,another_bug,2021,79.921821106113
premium,petrol,5.04,2016,97349,C-1370961Z,Audi Q3,electro_bug,2020,38.94583085034581
economy,petrol,6.22,2017,118864,A-6054905F,Smart ForFour,another_bug,2015,74.7047413841751
standart,petrol,3.94,2014,67389,I98930031r,Renault Sandero,break_bug,2022,35.07439070205508
economy,petrol,4.92,2016,99711,C-6638042h,Smart ForTwo,break_bug,2022,31.637190864379786
economy,petrol,4.88,2012,19505,Z-1084098i,VW Polo VI,break_bug,2017,35.22017595526282
economy,petrol,2.48,2012,25357,o88568317p,VW Polo,electro_bug,2019,32.20661822250928
economy,petrol,3.32,2011,856,b55045663j,VW Polo VI,wheel_shake,2017,26.094742938644554
economy,petrol,3.12,2013,36996,Q15313356b,VW Tiguan,break_bug,2019,30.825895914912408
economy,petrol,2.8,2015,93134,W10497593m,Kia Rio,engine_overheat,2019,38.65781158281174
standart,petrol,4.68,2014,68376,o-1891967P,Kia Sportage,engine_overheat,2017,43.685309786666416
economy,petrol,3.3,2013,44441,h10096493s,Kia Rio X-line,gear_stick,2020,25.779638831256477
standart,petrol,3.02,2015,87521,p22237238Z,Renault Kaptur,electro_bug,2020,39.68788582008008
business,petrol,4.52,2015,86764,n13675758u,Mercedes-Benz E200,engine_check,2018,53.29145633986125
standart,petrol,2.32,2014,69743,a41280148k,Renault Kaptur,engine_check,2016,56.6322389978713
economy,petrol,6.16,2012,19943,v-1469151Y,Kia Rio X-line,gear_stick,2016,25.079126410801322
economy,petrol,2.68,2014,59036,R49036294u,Smart Coupe,engine_fuel,2015,33.46067657955842
economy,petrol,3.18,2016,92146,R21100020a,Smart ForTwo,electro_bug,2014,33.799477073557306
economy,petrol,3.84,2012,20932,H-1226800z,VW Polo,gear_stick,2015,36.58755163347632
economy,petrol,5.32,2013,39171,z-4833684R,VW Polo,break_bug,2017,26.68672873722238
economy,petrol,2.36,2015,76737,K20525629B,VW Tiguan,engine_overheat,2019,36.945279241917014
economy,petrol,3.8,2015,85969,v95100302y,VW Polo VI,engine_overheat,2015,41.19951923685722
business,petrol,5.66,2014,64461,S-8715402c,Mini Cooper,engine_ignition,2016,65.83926762364482
economy,petrol,2.08,2013,37274,l13980749p,Smart ForTwo,engine_check,2016,61.87958712183726
business,petrol,5.3,2014,63518,D-1518430R,BMW 320i,another_bug,2020,68.4878665801743
economy,petrol,4.26,2017,123971,H15588497J,Skoda Rapid,break_bug,2016,36.564811230143775
economy,petrol,3.44,2014,58317,L94218328d,Kia Rio,another_bug,2022,62.71464755467252
standart,petrol,2.92,2013,43304,j55128828K,Renault Sandero,another_bug,2015,88.98742123454645
economy,petrol,3.2,2016,103539,h13825532e,VW Tiguan,engine_check,2020,44.945704649926746
economy,petrol,3.7,2011,4202,Q18803510e,VW Polo VI,electro_bug,2014,29.389572180759934
economy,petrol,3.54,2013,42800,w69467024a,Skoda Rapid,break_bug,2018,36.354150747139144
economy,petrol,3.96,2016,107408,a16149566K,Smart Coupe,engine_ignition,2016,64.19784655013818
economy,petrol,5.08,2014,64904,I-9335565Q,Smart ForFour,gear_stick,2016,31.18494780502716
standart,petrol,3.12,2011,3784,M19182860m,Kia Sportage,break_bug,2019,30.601575086530005
economy,petrol,5.1,2013,46222,m-2205063P,Smart ForFour,another_bug,2016,74.88471549311708
economy,petrol,4.02,2015,87263,e12051793m,VW Polo VI,electro_bug,2015,34.06968343731652
standart,petrol,2.8,2011,11919,R10923215L,Kia Sportage,break_bug,2016,36.502743874884025
economy,petrol,3.68,2014,62149,H15481815Q,Kia Rio,electro_bug,2020,36.84563729674082
standart,petrol,3.56,2012,21425,Z60523911N,Renault Kaptur,gear_stick,2019,35.199898082965056
economy,petrol,5.92,2013,50980,I-1072340c,Skoda Rapid,another_bug,2018,83.37479362655245
standart,petrol,5.26,2012,25355,K-2460692D,Renault Kaptur,another_bug,2015,54.98962088160983
economy,petrol,5.08,2013,36243,q-9818488o,Smart Coupe,break_bug,2018,26.36360987124117
standart,petrol,4.2,2013,40072,M-1351643L,Nissan Qashqai,another_bug,2019,86.20933776375641
standart,petrol,3.6,2015,82153,a15168936c,Renault Kaptur,electro_bug,2018,26.491950852582583
economy,petrol,4.7,2016,95030,C-5040526N,VW Tiguan,engine_fuel,2019,65.26498567614226
standart,petrol,4.72,2015,73596,P-8016178d,Renault Kaptur,gear_stick,2022,43.43403187207448
economy,petrol,4.2,2016,103541,m-2182440Q,Smart Coupe,gear_stick,2016,29.186400844025933
economy,petrol,4.9,2015,77670,I-5434170l,VW Polo,wheel_shake,2016,34.50883307398508
economy,petrol,3.24,2015,90837,L10152680W,Smart ForFour,another_bug,2016,55.628498216586046
economy,petrol,4.6,2017,123966,P-4006382C,Skoda Rapid,wheel_shake,2017,20.09965743485697
standart,petrol,5.66,2011,905,Y-2235574M,Kia Sportage,engine_check,2016,46.65426126499873
economy,petrol,6.46,2011,3032,J-1648795r,VW Polo,break_bug,2016,30.90436725551835
business,petrol,4.46,2011,3417,p-7109749V,Mercedes-Benz E200,electro_bug,2021,35.53994300533798
economy,petrol,4.92,2015,82285,H-1070903M,VW Tiguan,electro_bug,2019,24.401453174117115
standart,petrol,5.52,2015,81452,g-1247997Z,Renault Sandero,another_bug,2014,85.03515727878417
standart,petrol,4.24,2015,80656,w16163650F,Renault Sandero,engine_check,2019,47.07900414595613
economy,petrol,5.44,2015,88167,I-5970052e,Kia Rio X-line,engine_ignition,2017,54.868115791754335
economy,petrol,2.68,2014,65703,I21674635Q,Smart ForFour,gear_stick,2020,38.69936373245618
economy,petrol,5.02,2017,117653,Q-4587219M,Smart ForTwo,wheel_shake,2016,24.290515696447777
