car_type,fuel_type,car_rating,year_to_start,riders,car_id,model,target_reg,target_class,year_to_work
economy,petrol,6.14,2015,83659,f-1825133R,Kia Rio,0,electro_bug,2018
standart,petrol,4.7,2015,88268,o87681914x,Nissan Qashqai,0,another_bug,2018
economy,petrol,6.4,2015,78490,q-9928373B,VW Polo VI,0,electro_bug,2019
standart,petrol,5.1,2015,87129,Q-5554551x,Renault Kaptur,1,engine_ignition,2019
economy,petrol,3.8,2014,56704,l-1607581F,Smart ForTwo,0,engine_fuel,2014
economy,petrol,3.74,2013,38780,S29542128Q,Smart ForFour,0,another_bug,2020
standart,petrol,5.0,2013,47895,a-9339461G,Nissan Qashqai,0,break_bug,2020
standart,petrol,3.48,2015,83053,n28625799A,Kia Sportage,0,engine_overheat,2018
economy,petrol,4.64,2015,81467,N21890923Q,VW Polo,1,another_bug,2016
economy,petrol,6.04,2014,64332,g-1957069S,VW Polo,0,engine_check,2019
economy,petrol,5.14,2014,61936,J-1782910O,Kia Rio X,0,engine_fuel,2017
economy,petrol,5.32,2014,60223,e-5741942D,Kia Rio,1,engine_ignition,2016
economy,petrol,4.02,2012,23250,t17410389g,Kia Rio,1,another_bug,2019
premium,petrol,4.24,2015,89730,Z17995139Z,Audi A3,0,engine_check,2020
standart,petrol,5.28,2013,46366,y12023699E,Renault Sandero,0,gear_stick,2021
standart,petrol,4.3,2015,72969,Y-8852975t,Nissan Qashqai,0,engine_ignition,2017
economy,petrol,5.6,2013,38818,L-2247718T,Kia Rio X-line,0,break_bug,2015
standart,petrol,4.14,2013,40619,Z11671085y,Renault Sandero,1,engine_ignition,2017
economy,petrol,5.16,2015,93909,N19589603r,Skoda Rapid,0,break_bug,2017
standart,petrol,6.18,2014,58245,D-7723622B,Nissan Qashqai,0,engine_ignition,2020
economy,petrol,3.78,2014,64189,d37118079d,Skoda Rapid,0,wheel_shake,2019
standart,petrol,5.16,2013,39692,N-1539010p,Renault Sandero,0,engine_ignition,2019
economy,petrol,3.26,2017,127367,s47589001I,VW Tiguan,0,electro_bug,2018
economy,petrol,5.24,2015,86243,y-1806571O,Smart ForTwo,0,engine_fuel,2016
economy,petrol,4.18,2014,60859,u54154743P,VW Tiguan,0,engine_ignition,2021
economy,petrol,3.14,2012,20707,j16845365O,VW Polo VI,1,engine_ignition,2016
economy,petrol,5.72,2014,63613,k-1171716I,Kia Rio X,0,gear_stick,2017
economy,petrol,2.5,2015,75020,G81601770L,Kia Rio X,0,electro_bug,2016
economy,petrol,4.02,2015,86652,L16050992t,Kia Rio X-line,0,engine_ignition,2021
standart,petrol,3.96,2013,46605,m-4274263Z,Kia Sportage,1,engine_check,2018
economy,petrol,5.22,2016,109780,K-3529763Q,Skoda Rapid,0,electro_bug,2019
economy,petrol,1.88,2015,81699,s33927254Y,VW Polo,0,break_bug,2019
premium,petrol,4.3,2013,43597,g19494953p,Audi A3,0,engine_fuel,2020
economy,petrol,4.86,2014,59714,Y-4198316J,VW Tiguan,0,engine_ignition,2020
economy,petrol,5.36,2014,64958,b-1404013d,Skoda Rapid,1,wheel_shake,2018
standart,petrol,4.62,2012,21622,a-7282370E,Renault Kaptur,0,engine_overheat,2018
business,petrol,2.82,2015,87593,z16068145k,Mercedes-Benz GLC,2,electro_bug,2019
economy,petrol,6.16,2013,52440,O-1398534Y,Kia Rio,2,electro_bug,2020
economy,petrol,5.62,2014,75957,l69679835h,VW Polo,0,engine_fuel,2018
standart,petrol,4.28,2014,63451,G14568186a,Nissan Qashqai,0,engine_check,2015
economy,petrol,4.32,2015,75127,a-9442555A,VW Tiguan,2,engine_fuel,2021
economy,petrol,4.8,2015,85769,d-4629986a,Kia Rio,0,engine_ignition,2021
standart,petrol,5.06,2013,40611,G-1689492g,Nissan Qashqai,0,gear_stick,2018
economy,petrol,4.0,2015,90673,W12690163c,Kia Rio X-line,0,wheel_shake,2021
economy,petrol,3.84,2015,75188,l17843143j,Smart ForTwo,0,gear_stick,2021
economy,petrol,3.7,2012,21365,Q35379022F,Hyundai Solaris,0,electro_bug,2016
economy,petrol,4.84,2015,83114,Z76981204Y,Hyundai Solaris,0,electro_bug,2021
economy,petrol,3.76,2014,55649,r10613305A,Kia Rio X,0,gear_stick,2018
economy,petrol,4.54,2014,61802,N23006473B,Hyundai Solaris,0,gear_stick,2015
economy,petrol,6.94,2013,45127,m-2019578o,VW Tiguan,0,another_bug,2019
economy,petrol,3.86,2017,117893,W86413939q,Smart ForFour,0,wheel_shake,2018
business,electro,5.14,2011,447,o-1093440v,MINI CooperSE,0,engine_overheat,2018
economy,petrol,3.82,2013,39861,b16524531u,Smart ForTwo,0,engine_overheat,2016
economy,petrol,4.78,2012,21367,S-1468454C,Kia Rio,1,break_bug,2018
economy,petrol,3.92,2012,22947,P83526152o,Hyundai Solaris,0,engine_fuel,2015
economy,petrol,5.28,2011,3457,b-1081111P,Hyundai Solaris,1,engine_overheat,2017
business,petrol,3.4,2013,42671,H10062346p,Mercedes-Benz GLC,0,engine_overheat,2020
standart,petrol,4.6,2015,83063,z-4612131R,Renault Kaptur,1,gear_stick,2019
economy,petrol,4.82,2013,44278,N-5708757B,Kia Rio X-line,0,engine_overheat,2018
economy,petrol,3.08,2013,41963,s50463458T,VW Polo,0,gear_stick,2017
economy,petrol,4.04,2013,45984,u12928592s,VW Polo,0,wheel_shake,2017
economy,petrol,5.08,2014,63452,b-7098808D,Hyundai Solaris,0,wheel_shake,2022
standart,petrol,4.74,2014,69685,M-4627743Y,Renault Kaptur,0,break_bug,2018
economy,petrol,3.68,2017,116924,U-1897169L,Smart Coupe,1,another_bug,2014
economy,petrol,6.22,2015,96364,s-1392305F,Kia Rio X,0,gear_stick,2016
economy,petrol,3.96,2015,78511,z67141488o,Hyundai Solaris,0,wheel_shake,2017
business,petrol,6.14,2013,39499,j-1549044A,Mercedes-Benz GLC,0,engine_check,2019
economy,petrol,4.18,2015,90732,z-8891400p,Kia Rio,0,engine_overheat,2014
standart,petrol,3.56,2011,1388,z-5687636M,Renault Kaptur,0,electro_bug,2018
economy,petrol,4.8,2015,87302,K-1514397X,Kia Rio X,0,electro_bug,2014
economy,petrol,2.58,2015,83211,Q87875664U,Kia Rio X-line,1,another_bug,2018
economy,petrol,3.44,2012,23169,q13885185m,Hyundai Solaris,0,electro_bug,2020
standart,petrol,3.52,2015,85666,U57863590w,Renault Sandero,0,gear_stick,2016
standart,petrol,4.6,2014,67118,M49274481G,Renault Kaptur,0,engine_fuel,2020
standart,petrol,3.66,2014,57915,C16715520C,Renault Kaptur,0,electro_bug,2019
economy,petrol,5.42,2014,65141,T-1727751h,VW Polo,0,engine_check,2020
standart,petrol,3.84,2013,44790,a11122197a,Renault Sandero,0,another_bug,2020
standart,petrol,4.0,2012,21738,b15256546L,Nissan Qashqai,0,electro_bug,2019
premium,petrol,3.88,2017,110040,B11239506t,Audi Q3,0,electro_bug,2018
economy,petrol,4.22,2016,98408,m27082215N,Smart Coupe,1,electro_bug,2018
standart,petrol,4.74,2011,4267,l-1337696j,Kia Sportage,0,another_bug,2018
economy,petrol,5.32,2014,58219,q-6650729Y,Kia Rio X,0,another_bug,2019
economy,petrol,3.48,2017,133755,B17720677C,Skoda Rapid,0,break_bug,2022
standart,petrol,4.72,2013,42140,e-8788520s,Kia Sportage,0,gear_stick,2015
economy,petrol,4.96,2012,20097,v36899226P,VW Polo VI,1,engine_fuel,2019
economy,petrol,4.16,2012,20492,s21770212W,VW Polo VI,0,another_bug,2017
economy,petrol,3.62,2015,87297,x30389932l,Kia Rio,0,engine_fuel,2014
economy,petrol,3.12,2015,96993,B15081492o,Kia Rio,1,wheel_shake,2016
economy,petrol,3.94,2017,112886,O51808760A,VW Tiguan,0,gear_stick,2020
economy,petrol,3.82,2017,130393,l62738348Q,Skoda Rapid,0,engine_ignition,2018
standart,petrol,5.84,2012,25165,Y-2254716H,Nissan Qashqai,2,engine_ignition,2021
premium,petrol,5.02,2016,94482,v-6614004H,Audi A3,2,electro_bug,2017
economy,petrol,3.48,2013,36104,c21762167i,Smart ForFour,0,engine_check,2017
standart,petrol,3.12,2015,78630,B16746018u,Renault Kaptur,0,another_bug,2022
economy,petrol,5.56,2013,42927,T-2093464U,Smart ForTwo,0,engine_fuel,2014
economy,petrol,3.72,2017,117809,t11315883F,Skoda Rapid,0,engine_check,2014
premium,electro,5.1,2017,120231,I-2073229s,Tesla Model 3,0,engine_fuel,2017
economy,petrol,4.64,2014,59402,D-3425990U,Hyundai Solaris,0,electro_bug,2021
economy,petrol,5.6,2017,121467,r-7396117p,Smart Coupe,0,another_bug,2016
economy,petrol,5.12,2013,40186,b-1050475p,Kia Rio,0,engine_check,2021
economy,petrol,5.4,2015,88544,t-1412384s,Hyundai Solaris,0,engine_fuel,2018
economy,petrol,4.34,2011,920,w-1941558Q,Hyundai Solaris,0,another_bug,2016
standart,petrol,5.34,2012,27035,E-2041030F,Renault Kaptur,0,engine_overheat,2021
economy,petrol,5.62,2011,2814,q-1744366u,Kia Rio,0,engine_ignition,2016
standart,petrol,5.32,2013,49665,d-1134540I,Renault Sandero,0,engine_ignition,2020
standart,petrol,4.16,2013,41063,K30520180u,Nissan Qashqai,0,electro_bug,2022
economy,petrol,2.52,2017,119034,E17823137X,Skoda Rapid,0,engine_check,2016
standart,petrol,3.94,2015,87884,q71640430n,Nissan Qashqai,1,electro_bug,2017
economy,petrol,3.48,2017,128022,n34490222d,Smart ForFour,1,break_bug,2015
economy,petrol,3.84,2014,57543,k20675157L,Skoda Rapid,0,engine_ignition,2021
standart,petrol,3.34,2013,43249,y10948537e,Kia Sportage,1,gear_stick,2022
economy,petrol,5.54,2015,77723,x-1548714k,VW Polo VI,1,engine_check,2020
standart,petrol,4.04,2014,57176,a16152476X,Kia Sportage,1,electro_bug,2015
standart,petrol,4.22,2014,58538,F-7462902B,Renault Kaptur,0,engine_ignition,2020
economy,petrol,4.28,2013,38888,A14861843I,Smart ForTwo,0,electro_bug,2016
standart,petrol,3.92,2015,73627,H-1457815L,Renault Kaptur,0,electro_bug,2017
economy,petrol,4.56,2017,132381,R-1948335X,VW Tiguan,0,engine_ignition,2018
economy,petrol,5.92,2013,40778,t-3967937s,Kia Rio X,1,engine_overheat,2019
standart,petrol,4.56,2013,43695,o-1118236T,Renault Kaptur,0,break_bug,2021
premium,petrol,4.36,2016,93235,g-1760425A,Audi A4,0,electro_bug,2019
economy,petrol,3.62,2015,93392,C20191765o,Kia Rio X,0,engine_ignition,2017
standart,petrol,4.14,2014,67742,b-5227653R,Renault Kaptur,4,engine_check,2020
standart,petrol,4.4,2015,89492,R16773550u,Renault Sandero,1,engine_fuel,2021
economy,petrol,4.22,2013,40718,f18945419X,Kia Rio X,0,engine_check,2018
economy,petrol,6.34,2013,43791,h-7408890w,Hyundai Solaris,0,gear_stick,2016
economy,petrol,4.16,2016,110318,z-3485115T,Skoda Rapid,0,break_bug,2019
economy,petrol,5.22,2017,112123,C-4073157k,Smart ForTwo,0,engine_overheat,2021
standart,petrol,3.38,2015,87026,u21310295q,Kia Sportage,0,engine_check,2020
economy,petrol,5.4,2012,25538,N-9781014K,VW Polo VI,0,another_bug,2020
economy,petrol,3.62,2014,67354,t22511448x,Smart ForTwo,0,gear_stick,2021
economy,petrol,5.04,2015,87312,T-4883335x,Kia Rio X-line,2,wheel_shake,2022
standart,petrol,3.36,2012,24989,q12245711E,Nissan Qashqai,0,engine_check,2021
economy,petrol,5.14,2012,22330,B-6461335O,Hyundai Solaris,0,engine_fuel,2016
standart,petrol,3.98,2014,56916,q15170801B,Kia Sportage,0,gear_stick,2022
economy,petrol,1.94,2013,40195,W18060288Q,Kia Rio,0,gear_stick,2018
standart,petrol,4.1,2015,77579,b21711455K,Nissan Qashqai,0,gear_stick,2019
business,petrol,3.28,2013,38792,K70391511e,BMW 320i,0,electro_bug,2020
economy,petrol,4.36,2013,44545,V13438854p,Smart ForTwo,0,break_bug,2018
economy,petrol,3.12,2016,101075,j20079629P,Smart Coupe,0,gear_stick,2017
economy,petrol,3.82,2015,81630,C11747534v,VW Polo VI,0,engine_ignition,2020
standart,petrol,3.22,2011,3304,M58894937r,Renault Kaptur,1,engine_fuel,2014
economy,petrol,5.36,2014,59376,g-1740147b,Kia Rio X-line,0,gear_stick,2017
economy,petrol,3.94,2015,73470,A11922887f,Smart Coupe,0,electro_bug,2020
economy,petrol,4.02,2017,129629,n12377024x,Smart ForFour,1,electro_bug,2020
economy,petrol,3.94,2017,119174,L-1227525r,VW Tiguan,0,engine_ignition,2020
standart,petrol,5.24,2014,65030,i-1095441d,Renault Sandero,0,engine_fuel,2016
economy,petrol,3.52,2014,58435,c12597990Y,Smart ForTwo,0,engine_check,2016
economy,petrol,5.64,2012,20435,J-1324072f,VW Polo,0,engine_check,2018
economy,petrol,3.24,2017,129754,Q86719011p,Smart Coupe,0,wheel_shake,2018
economy,petrol,4.98,2012,20532,S-7961176I,VW Polo,0,engine_overheat,2018
business,petrol,4.98,2011,3455,i-2288384f,Mini Cooper,0,another_bug,2016
economy,petrol,3.7,2014,61991,U16614632F,Kia Rio,0,engine_overheat,2014
business,electro,5.14,2015,81530,U-7130411Q,MINI CooperSE,0,break_bug,2020
standart,petrol,4.14,2011,13,g53382924v,Kia Sportage,0,electro_bug,2022
economy,petrol,3.82,2014,64232,q22813846g,Kia Rio,0,wheel_shake,2015
economy,petrol,3.12,2015,76119,x33005281c,Hyundai Solaris,0,electro_bug,2020
economy,petrol,5.48,2016,104945,i-7530121C,Smart ForFour,2,electro_bug,2016
economy,petrol,4.18,2016,94240,g-1991724F,Smart ForTwo,0,break_bug,2016
economy,petrol,2.6,2015,84686,P12661886a,Kia Rio,0,electro_bug,2019
business,petrol,4.76,2015,79315,j-2223695S,Mini Cooper,0,engine_fuel,2019
economy,petrol,3.96,2017,138101,B-2081255O,Smart Coupe,0,gear_stick,2017
economy,petrol,2.54,2016,96375,H97221372X,VW Tiguan,0,another_bug,2018
economy,petrol,4.82,2011,6523,e24148786o,VW Polo VI,0,engine_overheat,2014
standart,petrol,4.56,2013,39508,I-1503695V,Nissan Qashqai,0,engine_ignition,2021
economy,petrol,2.96,2014,58172,O-2020503H,VW Polo VI,0,electro_bug,2019
standart,petrol,3.02,2015,81340,G15670643N,Nissan Qashqai,0,engine_overheat,2018
economy,petrol,5.02,2014,55556,M-1335244r,Smart ForTwo,0,gear_stick,2019
economy,petrol,3.7,2015,85786,E58388206y,Kia Rio X,0,engine_check,2016
economy,petrol,2.3,2011,5496,y13484815Y,VW Polo,0,another_bug,2015
premium,electro,4.8,2013,36907,c53045565g,Volkswagen ID.4 ,0,engine_ignition,2018
standart,petrol,3.64,2014,67119,Q19862548Q,Renault Sandero,0,break_bug,2017
economy,petrol,4.54,2014,68959,x24297410X,Hyundai Solaris,3,engine_fuel,2018
standart,petrol,5.96,2015,83621,n-2248103n,Renault Sandero,0,engine_overheat,2015
economy,petrol,6.8,2011,2206,R-2027359R,Kia Rio,2,wheel_shake,2021
economy,petrol,5.46,2014,66667,J-1564265f,Skoda Rapid,0,another_bug,2019
standart,petrol,4.6,2011,1112,z-8396890u,Renault Kaptur,0,gear_stick,2021
economy,petrol,5.24,2011,3810,S-1235434W,Kia Rio X-line,0,another_bug,2015
economy,petrol,4.0,2017,120698,Z17729553x,Smart ForTwo,2,engine_fuel,2020
standart,petrol,4.4,2012,25251,H-1512213s,Kia Sportage,1,break_bug,2018
standart,petrol,5.68,2014,53318,W-7286692g,Renault Kaptur,1,engine_overheat,2019
premium,electro,4.98,2016,99628,V-1552956h,Volkswagen ID.4 ,0,electro_bug,2019
economy,petrol,6.12,2015,84412,l-1076081s,Skoda Rapid,0,electro_bug,2018
economy,petrol,3.54,2015,85471,s13888728i,Smart ForFour,0,wheel_shake,2016
standart,petrol,4.12,2014,65146,H15345413o,Kia Sportage,1,gear_stick,2018
economy,petrol,4.42,2012,23142,w17370680J,VW Polo,0,break_bug,2019
economy,petrol,3.56,2013,41850,J15476551r,VW Polo VI,1,engine_check,2015
economy,petrol,5.4,2017,117841,f-1599161k,Smart ForFour,0,engine_fuel,2016
standart,petrol,4.5,2013,45290,k13011549U,Renault Sandero,0,break_bug,2014
economy,petrol,3.74,2015,78854,v13208941X,Kia Rio,0,engine_check,2020
economy,petrol,4.42,2016,101769,c-2250495g,VW Tiguan,2,electro_bug,2017
economy,petrol,4.96,2013,47356,b-1380770L,Smart ForTwo,0,engine_fuel,2020
standart,petrol,4.3,2015,75762,Z17599412A,Renault Kaptur,1,engine_fuel,2020
economy,petrol,3.12,2011,7399,X22359217a,Kia Rio X,0,gear_stick,2019
economy,petrol,3.6,2013,37727,C50359433E,VW Polo VI,0,gear_stick,2018
standart,petrol,3.88,2015,84484,v57643253w,Renault Sandero,2,engine_fuel,2015
economy,petrol,3.1,2015,91880,v22254568R,Smart ForFour,0,another_bug,2019
economy,petrol,6.82,2011,7472,V-5494479D,Kia Rio,1,engine_check,2019
economy,petrol,2.98,2015,95645,l13884760f,Kia Rio X,0,wheel_shake,2016
economy,petrol,3.74,2016,109428,W17936165j,Skoda Rapid,0,gear_stick,2020
economy,petrol,4.06,2015,87280,S-3511294t,Kia Rio X,0,gear_stick,2015
economy,petrol,4.7,2014,69886,j58227834T,Smart ForTwo,0,gear_stick,2014
economy,petrol,2.88,2014,55052,z40790936m,VW Polo,0,gear_stick,2019
economy,petrol,1.6,2012,28604,k14397227n,Hyundai Solaris,1,wheel_shake,2020
economy,petrol,3.66,2012,23516,X62303511v,Kia Rio X,0,engine_fuel,2018
standart,petrol,4.32,2015,88850,B-1561363P,Renault Sandero,1,gear_stick,2019
economy,petrol,4.0,2012,29052,i47017449U,Kia Rio X-line,0,engine_fuel,2019
economy,petrol,5.32,2016,93182,g-1126074r,Smart Coupe,1,gear_stick,2019
economy,petrol,4.04,2013,42023,Z80579540o,Kia Rio X,1,engine_fuel,2018
economy,petrol,3.62,2015,74334,Z17281512s,Hyundai Solaris,0,engine_ignition,2019
economy,petrol,4.68,2015,79067,c-7272329q,Smart ForTwo,0,gear_stick,2018
economy,petrol,5.2,2013,40616,O-1267999T,Smart ForTwo,0,gear_stick,2019
standart,petrol,2.52,2011,901,z21450941n,Kia Sportage,0,electro_bug,2020
economy,petrol,2.86,2014,58637,p87595615V,Hyundai Solaris,0,engine_check,2016
economy,petrol,5.72,2016,98758,k-2034944s,Smart ForTwo,0,engine_fuel,2017
standart,petrol,4.36,2015,95768,B-1760099A,Renault Kaptur,0,engine_overheat,2020
economy,petrol,5.0,2015,78693,d21839434m,Kia Rio,0,electro_bug,2021
standart,petrol,4.16,2014,53883,t11042597E,Kia Sportage,0,engine_overheat,2018
standart,petrol,3.0,2015,82170,a61936474Y,Renault Kaptur,0,break_bug,2017
economy,petrol,2.9,2015,76386,n16260385q,VW Polo,0,engine_ignition,2018
economy,petrol,4.28,2014,61422,R-1126472L,Smart ForFour,0,engine_overheat,2019
economy,petrol,3.64,2015,78095,k86159975d,VW Polo,1,break_bug,2016
economy,petrol,3.48,2011,2499,A10692422a,Kia Rio,0,break_bug,2015
standart,petrol,4.18,2011,942,W-9477259M,Kia Sportage,0,another_bug,2020
economy,petrol,4.12,2011,1630,r11362699a,Kia Rio X,0,electro_bug,2017
standart,petrol,4.38,2011,3942,F-6369826L,Nissan Qashqai,0,engine_check,2017
standart,petrol,3.24,2013,40935,y10620904U,Kia Sportage,0,electro_bug,2014
economy,petrol,4.92,2017,120326,Z76775340d,VW Tiguan,1,wheel_shake,2020
economy,petrol,6.2,2014,65164,d-1139767Q,VW Polo VI,0,engine_check,2022
economy,petrol,5.72,2015,73667,B-5479705C,VW Polo VI,0,another_bug,2021
premium,petrol,5.04,2016,97349,C-1370961Z,Audi Q3,0,electro_bug,2020
economy,petrol,6.22,2017,118864,A-6054905F,Smart ForFour,0,another_bug,2015
standart,petrol,3.94,2014,67389,I98930031r,Renault Sandero,0,break_bug,2022
economy,petrol,4.92,2016,99711,C-6638042h,Smart ForTwo,0,break_bug,2022
economy,petrol,4.88,2012,19505,Z-1084098i,VW Polo VI,0,break_bug,2017
economy,petrol,2.48,2012,25357,o88568317p,VW Polo,0,electro_bug,2019
economy,petrol,3.32,2011,856,b55045663j,VW Polo VI,0,wheel_shake,2017
economy,petrol,3.12,2013,36996,Q15313356b,VW Tiguan,0,break_bug,2019
economy,petrol,2.8,2015,93134,W10497593m,Kia Rio,0,engine_overheat,2019
standart,petrol,4.68,2014,68376,o-1891967P,Kia Sportage,0,engine_overheat,2017
economy,petrol,3.3,2013,44441,h10096493s,Kia Rio X-line,0,gear_stick,2020
standart,petrol,3.02,2015,87521,p22237238Z,Renault Kaptur,0,electro_bug,2020
business,petrol,4.52,2015,86764,n13675758u,Mercedes-Benz E200,1,engine_check,2018
standart,petrol,2.32,2014,69743,a41280148k,Renault Kaptur,0,engine_check,2016
economy,petrol,6.16,2012,19943,v-1469151Y,Kia Rio X-line,0,gear_stick,2016
economy,petrol,2.68,2014,59036,R49036294u,Smart Coupe,1,engine_fuel,2015
economy,petrol,3.18,2016,92146,R21100020a,Smart ForTwo,1,electro_bug,2014
economy,petrol,3.84,2012,20932,H-1226800z,VW Polo,0,gear_stick,2015
economy,petrol,5.32,2013,39171,z-4833684R,VW Polo,0,break_bug,2017
economy,petrol,2.36,2015,76737,K20525629B,VW Tiguan,0,engine_overheat,2019
economy,petrol,3.8,2015,85969,v95100302y,VW Polo VI,0,engine_overheat,2015
business,petrol,5.66,2014,64461,S-8715402c,Mini Cooper,0,engine_ignition,2016
economy,petrol,2.08,2013,37274,l13980749p,Smart ForTwo,3,engine_check,2016
business,petrol,5.3,2014,63518,D-1518430R,BMW 320i,0,another_bug,2020
economy,petrol,4.26,2017,123971,H15588497J,Skoda Rapid,0,break_bug,2016
economy,petrol,3.44,2014,58317,L94218328d,Kia Rio,0,another_bug,2022
standart,petrol,2.92,2013,43304,j55128828K,Renault Sandero,1,another_bug,2015
economy,petrol,3.2,2016,103539,h13825532e,VW Tiguan,1,engine_check,2020
economy,petrol,3.7,2011,4202,Q18803510e,VW Polo VI,0,electro_bug,2014
economy,petrol,3.54,2013,42800,w69467024a,Skoda Rapid,0,break_bug,2018
economy,petrol,3.96,2016,107408,a16149566K,Smart Coupe,0,engine_ignition,2016
economy,petrol,5.08,2014,64904,I-9335565Q,Smart ForFour,3,gear_stick,2016
standart,petrol,3.12,2011,3784,M19182860m,Kia Sportage,0,break_bug,2019
economy,petrol,5.1,2013,46222,m-2205063P,Smart ForFour,0,another_bug,2016
economy,petrol,4.02,2015,87263,e12051793m,VW Polo VI,0,electro_bug,2015
standart,petrol,2.8,2011,11919,R10923215L,Kia Sportage,1,break_bug,2016
economy,petrol,3.68,2014,62149,H15481815Q,Kia Rio,0,electro_bug,2020
standart,petrol,3.56,2012,21425,Z60523911N,Renault Kaptur,0,gear_stick,2019
economy,petrol,5.92,2013,50980,I-1072340c,Skoda Rapid,0,another_bug,2018
standart,petrol,5.26,2012,25355,K-2460692D,Renault Kaptur,0,another_bug,2015
economy,petrol,5.08,2013,36243,q-9818488o,Smart Coupe,0,break_bug,2018
standart,petrol,4.2,2013,40072,M-1351643L,Nissan Qashqai,0,another_bug,2019
standart,petrol,3.6,2015,82153,a15168936c,Renault Kaptur,0,electro_bug,2018
economy,petrol,4.7,2016,95030,C-5040526N,VW Tiguan,0,engine_fuel,2019
standart,petrol,4.72,2015,73596,P-8016178d,Renault Kaptur,2,gear_stick,2022
economy,petrol,4.2,2016,103541,m-2182440Q,Smart Coupe,2,gear_stick,2016
economy,petrol,4.9,2015,77670,I-5434170l,VW Polo,0,wheel_shake,2016
economy,petrol,3.24,2015,90837,L10152680W,Smart ForFour,0,another_bug,2016
economy,petrol,4.6,2017,123966,P-4006382C,Skoda Rapid,0,wheel_shake,2017
standart,petrol,5.66,2011,905,Y-2235574M,Kia Sportage,0,engine_check,2016
economy,petrol,6.46,2011,3032,J-1648795r,VW Polo,0,break_bug,2016
business,petrol,4.46,2011,3417,p-7109749V,Mercedes-Benz E200,0,electro_bug,2021
economy,petrol,4.92,2015,82285,H-1070903M,VW Tiguan,0,electro_bug,2019
standart,petrol,5.52,2015,81452,g-1247997Z,Renault Sandero,0,another_bug,2014
standart,petrol,4.24,2015,80656,w16163650F,Renault Sandero,0,engine_check,2019
economy,petrol,5.44,2015,88167,I-5970052e,Kia Rio X-line,1,engine_ignition,2017
economy,petrol,2.68,2014,65703,I21674635Q,Smart ForFour,0,gear_stick,2020
economy,petrol,5.02,2017,117653,Q-4587219M,Smart ForTwo,0,wheel_shake,2016
economy,petrol,4.7,2012,22882,v-1935966T,Hyundai Solaris,0,engine_overheat,2017
economy,petrol,3.88,2017,114896,M95466176u,Smart ForFour,0,engine_fuel,2018
standart,petrol,4.22,2011,1933,x94067365b,Kia Sportage,2,engine_fuel,2019
economy,petrol,5.08,2015,79896,f-1498735Z,Kia Rio X,0,wheel_shake,2017
economy,petrol,5.36,2013,44425,N-1305225x,VW Polo VI,0,wheel_shake,2017
standart,petrol,4.08,2013,43899,y-2171969q,Renault Sandero,0,electro_bug,2017
standart,petrol,3.28,2014,67583,c17052193e,Nissan Qashqai,2,engine_check,2016
economy,petrol,4.06,2016,93594,N10540578u,Smart ForFour,0,electro_bug,2018
economy,petrol,5.58,2015,88015,b-1872358o,Smart ForFour,0,gear_stick,2015
economy,petrol,3.58,2015,73378,o90119190V,Hyundai Solaris,0,engine_ignition,2019
economy,petrol,4.9,2012,17883,u-5484227S,VW Polo VI,0,wheel_shake,2022
economy,petrol,3.64,2014,67471,w-9916167W,Kia Rio X-line,0,engine_overheat,2018
economy,petrol,4.68,2014,60086,g-1742741c,VW Tiguan,0,gear_stick,2020
standart,petrol,5.54,2012,29778,n-1575803E,Kia Sportage,0,engine_check,2015
standart,petrol,4.14,2014,62285,N31059484x,Renault Kaptur,0,another_bug,2020
economy,petrol,4.92,2012,22779,u82752427P,Kia Rio X-line,0,engine_overheat,2017
economy,petrol,3.46,2013,45026,o16230080f,VW Polo,0,wheel_shake,2016
economy,petrol,4.56,2011,2082,H-1342764P,Kia Rio X,0,electro_bug,2015
standart,petrol,5.22,2013,39187,X58767632q,Nissan Qashqai,2,electro_bug,2015
standart,petrol,4.3,2015,97217,m-2245548R,Kia Sportage,0,engine_fuel,2017
economy,petrol,3.74,2015,72534,w10201905w,Smart Coupe,0,electro_bug,2015
standart,petrol,5.94,2012,20340,T-2189506b,Kia Sportage,0,engine_check,2021
economy,petrol,3.72,2015,87183,S20355997J,Smart ForFour,0,engine_ignition,2022
business,petrol,4.34,2012,28587,Z-1361289G,Mini Cooper,1,engine_overheat,2017
economy,petrol,3.48,2014,60384,Y22302267X,Kia Rio,2,another_bug,2020
economy,petrol,4.9,2016,107225,l-1026528H,Smart Coupe,0,break_bug,2015
economy,petrol,4.4,2011,1069,H-2757468E,VW Polo VI,0,engine_ignition,2022
economy,petrol,4.56,2015,90457,N-2240902Z,Smart ForFour,0,engine_fuel,2015
economy,petrol,2.38,2014,64678,x13730258P,VW Tiguan,1,engine_overheat,2021
economy,petrol,3.26,2015,76343,q30806358i,VW Polo VI,1,engine_check,2015
standart,petrol,2.98,2012,26096,h12427301o,Nissan Qashqai,0,gear_stick,2020
business,petrol,5.02,2013,46720,W-1775855Q,Fiat 500,0,engine_check,2020
economy,petrol,4.7,2014,67461,I-2834874F,Smart ForFour,1,break_bug,2019
economy,petrol,4.16,2017,120482,j92079780S,Smart ForTwo,0,wheel_shake,2015
economy,petrol,3.22,2015,85749,N89944460U,Kia Rio X,1,engine_ignition,2018
economy,petrol,3.1,2013,43452,f63189062N,Smart Coupe,0,gear_stick,2016
standart,petrol,3.18,2012,23184,j-1712772o,Nissan Qashqai,0,engine_check,2020
